,Date,BTC,ETH,XRP,S&P500,Nifty50,gold,usd
0,2015-08-10,264.4700012207031,0.7084479928016663,0.0087501499801874,2104.18,8525.6,1104.199951,97.16
1,2015-08-11,270.385986328125,1.0678600072860718,0.0085906302556395,2084.07,8462.35,1107.599976,97.29
2,2015-08-12,266.3760070800781,1.2174400091171265,0.008271099999547,2086.05,8349.45,1123.199951,96.26
3,2015-08-13,264.0799865722656,1.827669978141785,0.0081471800804138,2083.39,8355.85,1115.699951,96.44
4,2015-08-14,265.67999267578125,1.8278700113296509,0.0083367601037025,2091.54,8518.55,1112.900024,96.52
5,2015-08-17,257.9760131835937,1.2036099433898926,0.0083014396950602,2102.44,8477.3,1118.599976,96.81
6,2015-08-18,211.07899475097656,1.087049961090088,0.0075518400408327,2096.92,8466.55,1117.099976,97.04
7,2015-08-19,226.6840057373047,1.2588599920272827,0.0077584697864949,2079.61,8495.15,1128.099976,96.36
8,2015-08-20,235.3500061035156,1.4649200439453125,0.0078719398006796,2035.73,8372.75,1153.0,95.98
9,2015-08-21,232.56900024414065,1.3952900171279907,0.0078808199614286,1970.89,8299.95,1159.599976,95.01
10,2015-08-24,210.4949951171875,1.2312699556350708,0.0073971501551568,1893.21,7809.0,1153.400024,93.33
11,2015-08-25,221.60899353027344,1.1401900053024292,0.0071261501871049,1867.61,7880.7,1138.199951,94.53
12,2015-08-26,225.83099365234372,1.159980058670044,0.0074919499456882,1940.51,7791.85,1124.599976,95.1
13,2015-08-27,224.7689971923828,1.147699952125549,0.0075514200143516,1987.66,7948.95,1122.400024,95.61
14,2015-08-28,231.39599609375,1.1913800239562988,0.0074327602051198,1988.87,8001.95,1133.099976,96.11
15,2015-08-31,230.05599975585935,1.358240008354187,0.0078836502507328,1972.18,7971.3,1131.599976,95.82
16,2015-09-01,228.1210021972656,1.3516099452972412,0.0078149698674678,1913.85,7785.85,1138.699951,95.45
17,2015-09-02,229.28399658203125,1.2947900295257568,0.0077001200988888,1948.86,7717.0,1132.5,95.83
18,2015-09-03,227.18299865722656,1.264930009841919,0.0074306898750364,1951.13,7823.0,1123.699951,96.41
19,2015-09-04,230.29800415039065,1.2744100093841553,0.0073550101369619,1921.22,7655.05,1120.599976,96.23
20,2015-09-08,243.60699462890625,1.2424299716949463,0.0078314496204257,1969.41,7688.25,1120.400024,95.98
21,2015-09-09,238.16799926757807,1.2065099477767944,0.007677889894694,1942.04,7818.6,1102.199951,96.01
